Var1,Estimated R0
"Albania",2.26861986555131
"Algeria",1.35980445326414
"Andorra",2.3694302781765
"Antigua and Barbuda",2.16124970171607
"Argentina",2.11403933236883
"Armenia",2.45589486745829
"Australia",2.55590774570652
"Austria",3.0142208371907
"Azerbaijan",2.15860013453059
"The Bahamas",2.2431148609115
"Bahrain",2.3407193721965
"Bangladesh",1.61815054395124
"Belarus",2.59399215713347
"Belgium",3.59875090585764
"Belize",1.70441713304201
"Benin",2.08171603921407
"Bhutan",2.04950829928045
"Bolivia",2.00800778592254
"Bosnia and Herzegovina",2.77351583199667
"Botswana",1.67220902272196
"Brazil",2.00066813803173
"Brunei",1.8385120651336
"Bulgaria",3.5165135841911
"Burkina Faso",1.7461527087653
"Cabo Verde",1.37092715866768
"Cambodia",2.13645607042785
"Cameroon",2.04826538148642
"Canada",2.76491283056626
"Chile",2.25037360187621
"China",2.43622027562203
"Colombia",1.99129351425104
"Republic of the Congo",1.65066399607074
"Costa Rica",1.95936774067012
"Croatia",3.14563764769618
"Cyprus",2.58125709749844
"Czech Republic",3.19156880431301
"Denmark",3.17822093104068
"Dominican Republic",1.84662003039351
"Ecuador",1.87284126111793
"Egypt",1.4342672192376
"El Salvador",1.80710012480651
"Estonia",3.2606643285727
"Ethiopia",2.06120517628965
"Fiji",1.64733928159634
"Finland",3.6428535969199
"France",2.69549182161046
"Georgia",2.84550437187168
"Germany",1.99219282364224
"Ghana",2.0370938029972
"Greece",3.14151289237956
"Guatemala",1.45653204093839
"Guinea",1.88932178331794
"Guyana",1.69384284364314
"Haiti",1.98508517810988
"Honduras",1.66393243662163
"Hong Kong SAR, China",2.75250920341913
"Hungary",3.09124430889086
"Iceland",2.68072727251428
"India",1.73194668151632
"Indonesia",2.02374303195984
"Iran",1.53299089242299
"Iraq",1.78632892861245
"Ireland",2.26588155436598
"Israel",2.0942957685783
"Italy",4.18499458187501
"Jamaica",1.91187183489697
"Japan",4.12933773364793
"Jordan",1.2050296589867
"Kazakhstan",2.2602299231991
"Kenya",1.66263362791987
"Kiribati",1.47171734285325
"Kuwait",2.30366179027634
"Kyrgyzstan",1.73740772992316
"Laos",1.5960291616437
"Latvia",3.13058399394593
"Lebanon",1.71905089176829
"Lesotho",1.82246773621184
"Liberia",1.63625251766256
"Lithuania",2.72951300813407
"Luxembourg",3.79050397458475
"Malaysia",2.00220841547417
"Maldives",1.73285537568413
"Malta",3.08445767479505
"Mauritania",1.39496193084245
"Mauritius",2.10237460166641
"Mexico",1.80051265162374
"Monaco",6.94881860895756
"Mongolia",1.79403520670628
"Montenegro",2.47965065190259
"Morocco",1.65632601888727
"Mozambique",1.88373821394278
"Namibia",1.95914334294693
"Nepal",2.17992435951689
"Netherlands",3.4424620069164
"New Zealand",2.70660334201822
"Nicaragua",1.63862131133776
"Niger",1.50253750249207
"Nigeria",1.68795858099569
"Oman",1.97346850224155
"Pakistan",1.36230250266754
"Panama",1.82320895807355
"Paraguay",1.88890338354587
"Peru",2.1265231446741
"Philippines",1.85444932497674
"Poland",3.98815013386558
"Portugal",3.11297576877461
"Qatar",3.1269609802536
"South Korea",2.66092585786498
"Romania",2.70130067806831
"Russia",2.71693705107329
"Rwanda",2.05621332933559
"Saint Lucia",1.8904017476601
"Samoa",1.07652561887202
"Sao Tome and Principe",1.00074755263707
"Saudi Arabia",1.73766096841519
"Senegal",1.45334606753094
"Serbia",3.35580550325254
"Seychelles",2.14630228804282
"Sierra Leone",1.93413396778311
"Singapore",2.68490150199516
"Slovakia",2.67692547512429
"Slovenia",2.90062500942804
"Solomon Islands",1.53226647103714
"South Africa",1.76173180597983
"Spain",2.79189732054439
"Sri Lanka",1.74581456145698
"Suriname",1.94828261450591
"Sweden",3.20654695339253
"Switzerland",3.04762742362205
"Syria",1.32318369608414
"Taiwan",2.32201694836839
"Tajikistan",1.57668256306132
"Republic of Macedonia",2.4673739790839
"Thailand",2.54297420879578
"East Timor",1.39300702614462
"Tonga",1.27104370295846
"Tunisia",1.56563608651409
"Turkey",1.7112415869283
"Uganda",2.03575710378032
"Ukraine",3.03822988673664
"United Arab Emirates",2.61526086868783
"United Kingdom",2.0422281794824
"Tanzania",2.09799647346012
"United States of America",2.46540895748117
"Uruguay",2.40631841260308
"Uzbekistan",1.21584789278596
"Vanuatu",1.74641671704671
"Venezuela",1.95903791586757
"Vietnam",2.41143523821566
"Yemen",1.06283711720708
"Zambia",1.90819110931713
"Zimbabwe",1.72485162970307
